# time = 5.000000000000000e+00# start, end, pivot, particles, density
0.00000e+00, 1.01681e-01, 5.08404e-02, 1.06984e+00, 1.05215e+01
1.01681e-01, 2.13530e-01, 1.57605e-01, 1.07848e+00, 9.64233e+00
2.13530e-01, 3.36563e-01, 2.75046e-01, 9.57259e-01, 7.78047e+00
3.36563e-01, 4.71900e-01, 4.04232e-01, 7.04327e-01, 5.20424e+00
4.71900e-01, 6.20771e-01, 5.46336e-01, 3.79260e-01, 2.54758e+00
6.20771e-01, 7.84529e-01, 7.02650e-01, 1.10854e-01, 6.76938e-01
7.84529e-01, 9.64662e-01, 8.74596e-01, 7.17322e-03, 3.98216e-02
9.64662e-01, 1.16281e+00, 1.06374e+00, 8.02715e-09, 4.05111e-08
1.16281e+00, 1.38077e+00, 1.27179e+00, 0.00000e+00, 0.00000e+00
1.38077e+00, 1.62053e+00, 1.50065e+00, 0.00000e+00, 0.00000e+00
1.62053e+00, 1.88426e+00, 1.75240e+00, 0.00000e+00, 0.00000e+00
1.88426e+00, 2.17437e+00, 2.02932e+00, 0.00000e+00, 0.00000e+00
2.17437e+00, 2.49349e+00, 2.33393e+00, 0.00000e+00, 0.00000e+00
2.49349e+00, 2.84452e+00, 2.66900e+00, 0.00000e+00, 0.00000e+00
2.84452e+00, 3.23065e+00, 3.03758e+00, 0.00000e+00, 0.00000e+00
3.23065e+00, 3.65539e+00, 3.44302e+00, 0.00000e+00, 0.00000e+00
3.65539e+00, 4.12261e+00, 3.88900e+00, 0.00000e+00, 0.00000e+00
4.12261e+00, 4.63656e+00, 4.37959e+00, 0.00000e+00, 0.00000e+00
4.63656e+00, 5.20189e+00, 4.91923e+00, 0.00000e+00, 0.00000e+00
5.20189e+00, 5.82376e+00, 5.51283e+00, 0.00000e+00, 0.00000e+00
5.82376e+00, 6.50782e+00, 6.16579e+00, 0.00000e+00, 0.00000e+00
6.50782e+00, 7.26028e+00, 6.88405e+00, 0.00000e+00, 0.00000e+00
7.26028e+00, 8.08799e+00, 7.67414e+00, 0.00000e+00, 0.00000e+00
8.08799e+00, 8.99847e+00, 8.54323e+00, 0.00000e+00, 0.00000e+00
8.99847e+00, 1.00000e+01, 9.49924e+00, 0.00000e+00, 0.00000e+00
